Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Pratapgarh,6,6,0,0,
2020-04-27,Uttar Pradesh,Pratapgarh,7,6,0,0,
2020-04-28,Uttar Pradesh,Pratapgarh,7,6,0,0,
2020-04-29,Uttar Pradesh,Pratapgarh,7,6,0,0,
2020-04-30,Uttar Pradesh,Pratapgarh,7,6,0,0,
2020-05-01,Uttar Pradesh,Pratapgarh,9,6,0,0,
2020-05-02,Uttar Pradesh,Pratapgarh,9,6,0,0,
2020-05-03,Uttar Pradesh,Pratapgarh,10,6,0,0,
2020-05-04,Uttar Pradesh,Pratapgarh,11,6,0,0,
2020-05-05,Uttar Pradesh,Pratapgarh,11,6,0,0,
2020-05-06,Uttar Pradesh,Pratapgarh,12,6,0,0,
2020-05-07,Uttar Pradesh,Pratapgarh,12,6,0,0,
2020-05-08,Uttar Pradesh,Pratapgarh,12,6,0,0,
2020-05-09,Uttar Pradesh,Pratapgarh,11,6,0,0,
2020-05-10,Uttar Pradesh,Pratapgarh,12,6,0,0,
2020-05-11,Uttar Pradesh,Pratapgarh,13,6,0,0,
2020-05-12,Uttar Pradesh,Pratapgarh,15,6,0,0,
2020-05-13,Uttar Pradesh,Pratapgarh,16,6,0,0,
2020-05-14,Uttar Pradesh,Pratapgarh,16,7,1,0,
2020-05-15,Uttar Pradesh,Pratapgarh,18,7,2,0,
2020-05-16,Uttar Pradesh,Pratapgarh,20,11,1,0,
2020-05-17,Uttar Pradesh,Pratapgarh,37,11,1,0,
2020-05-18,Uttar Pradesh,Pratapgarh,38,12,1,0,
2020-05-19,Uttar Pradesh,Pratapgarh,45,12,1,0,
2020-05-20,Uttar Pradesh,Pratapgarh,56,12,1,0,
2020-05-21,Uttar Pradesh,Pratapgarh,57,12,2,0,
2020-05-22,Uttar Pradesh,Pratapgarh,59,12,2,0,
2020-05-23,Uttar Pradesh,Pratapgarh,59,12,2,0,
2020-05-24,Uttar Pradesh,Pratapgarh,59,14,2,0,
2020-05-25,Uttar Pradesh,Pratapgarh,60,15,3,0,
2020-05-26,Uttar Pradesh,Pratapgarh,65,32,3,0,
2020-05-27,Uttar Pradesh,Pratapgarh,73,35,3,0,
2020-05-28,Uttar Pradesh,Pratapgarh,75,36,3,0,
2020-05-29,Uttar Pradesh,Pratapgarh,77,42,3,0,
2020-05-30,Uttar Pradesh,Pratapgarh,78,43,3,0,
2020-05-31,Uttar Pradesh,Pratapgarh,78,43,3,0,
2020-06-01,Uttar Pradesh,Pratapgarh,78,43,3,0,
2020-06-02,Uttar Pradesh,Pratapgarh,79,43,3,0,
2020-06-03,Uttar Pradesh,Pratapgarh,79,44,3,0,
2020-06-04,Uttar Pradesh,Pratapgarh,83,57,4,0,
2020-06-05,Uttar Pradesh,Pratapgarh,87,65,4,0,
2020-06-06,Uttar Pradesh,Pratapgarh,87,68,4,0,
2020-06-07,Uttar Pradesh,Pratapgarh,89,72,4,0,
2020-06-08,Uttar Pradesh,Pratapgarh,90,72,4,0,
2020-06-09,Uttar Pradesh,Pratapgarh,90,74,4,0,
2020-06-10,Uttar Pradesh,Pratapgarh,91,74,4,0,
2020-06-11,Uttar Pradesh,Pratapgarh,91,76,4,0,
2020-06-12,Uttar Pradesh,Pratapgarh,92,76,4,0,
2020-06-13,Uttar Pradesh,Pratapgarh,94,79,4,0,
2020-06-14,Uttar Pradesh,Pratapgarh,95,80,4,0,
2020-06-15,Uttar Pradesh,Pratapgarh,100,81,5,0,
2020-06-16,Uttar Pradesh,Pratapgarh,102,81,5,0,
2020-06-17,Uttar Pradesh,Pratapgarh,103,81,5,0,
2020-06-18,Uttar Pradesh,Pratapgarh,104,86,5,0,
2020-06-19,Uttar Pradesh,Pratapgarh,105,87,5,0,
2020-06-20,Uttar Pradesh,Pratapgarh,107,87,5,0,
2020-06-21,Uttar Pradesh,Pratapgarh,107,88,5,0,
2020-06-22,Uttar Pradesh,Pratapgarh,108,88,5,0,
2020-06-23,Uttar Pradesh,Pratapgarh,108,89,5,0,
2020-06-24,Uttar Pradesh,Pratapgarh,108,96,5,0,
2020-06-25,Uttar Pradesh,Pratapgarh,109,97,5,0,
2020-06-26,Uttar Pradesh,Pratapgarh,109,98,6,0,
2020-06-27,Uttar Pradesh,Pratapgarh,111,98,7,0,
2020-06-28,Uttar Pradesh,Pratapgarh,112,100,7,0,
2020-06-29,Uttar Pradesh,Pratapgarh,112,102,7,0,
2020-06-30,Uttar Pradesh,Pratapgarh,113,103,7,0,
2020-07-01,Uttar Pradesh,Pratapgarh,114,103,7,0,
2020-07-02,Uttar Pradesh,Pratapgarh,114,103,7,0,
2020-07-03,Uttar Pradesh,Pratapgarh,120,103,7,0,
2020-07-04,Uttar Pradesh,Pratapgarh,120,104,7,0,
2020-07-05,Uttar Pradesh,Pratapgarh,121,104,8,0,
2020-07-06,Uttar Pradesh,Pratapgarh,122,104,8,0,
2020-07-07,Uttar Pradesh,Pratapgarh,122,104,8,0,
2020-07-08,Uttar Pradesh,Pratapgarh,128,106,9,0,
2020-07-09,Uttar Pradesh,Pratapgarh,130,106,9,0,
2020-07-10,Uttar Pradesh,Pratapgarh,132,106,9,0,9086.0
2020-07-11,Uttar Pradesh,Pratapgarh,132,107,9,0,9432.0
2020-07-12,Uttar Pradesh,Pratapgarh,134,107,9,0,9432.0
2020-07-13,Uttar Pradesh,Pratapgarh,136,110,9,0,9991.0
2020-07-14,Uttar Pradesh,Pratapgarh,144,110,10,0,9991.0
2020-07-15,Uttar Pradesh,Pratapgarh,151,112,10,0,10638.0
2020-07-16,Uttar Pradesh,Pratapgarh,155,115,10,0,10974.0
2020-07-17,Uttar Pradesh,Pratapgarh,157,116,10,0,11279.0
2020-07-18,Uttar Pradesh,Pratapgarh,159,116,10,0,11589.0
2020-07-19,Uttar Pradesh,Pratapgarh,170,116,10,0,11876.0
2020-07-20,Uttar Pradesh,Pratapgarh,173,117,10,0,12098.0
2020-07-21,Uttar Pradesh,Pratapgarh,191,117,10,0,12598.0
2020-07-22,Uttar Pradesh,Pratapgarh,207,122,10,0,12951.0
2020-07-23,Uttar Pradesh,Pratapgarh,220,129,10,0,13432.0
2020-07-24,Uttar Pradesh,Pratapgarh,224,140,10,0,13882.0
2020-07-25,Uttar Pradesh,Pratapgarh,231,144,10,0,14102.0
2020-07-26,Uttar Pradesh,Pratapgarh,246,148,10,0,14244.0
2020-07-27,Uttar Pradesh,Pratapgarh,265,154,10,0,17514.0
2020-07-28,Uttar Pradesh,Pratapgarh,301,155,10,0,18338.0
2020-07-29,Uttar Pradesh,Pratapgarh,320,158,11,0,19057.0
2020-07-30,Uttar Pradesh,Pratapgarh,366,160,12,0,20462.0
2020-07-31,Uttar Pradesh,Pratapgarh,411,164,13,0,21782.0
2020-08-01,Uttar Pradesh,Pratapgarh,448,170,13,0,21782.0
2020-08-02,Uttar Pradesh,Pratapgarh,453,171,13,0,21782.0
2020-08-03,Uttar Pradesh,Pratapgarh,506,188,13,0,21855.0
2020-08-04,Uttar Pradesh,Pratapgarh,524,199,13,0,21855.0
2020-08-05,Uttar Pradesh,Pratapgarh,584,223,13,0,21855.0
2020-08-06,Uttar Pradesh,Pratapgarh,646,227,13,0,21855.0
2020-08-07,Uttar Pradesh,Pratapgarh,698,243,13,0,21950.0
2020-08-08,Uttar Pradesh,Pratapgarh,766,253,13,0,22200.0
2020-08-09,Uttar Pradesh,Pratapgarh,817,267,13,0,22200.0
2020-08-10,Uttar Pradesh,Pratapgarh,846,298,14,0,22500.0
2020-08-11,Uttar Pradesh,Pratapgarh,884,325,15,0,22800.0
2020-08-12,Uttar Pradesh,Pratapgarh,943,400,16,0,23100.0
2020-08-13,Uttar Pradesh,Pratapgarh,997,435,18,0,23400.0
2020-08-14,Uttar Pradesh,Pratapgarh,1024,472,19,0,23400.0
2020-08-15,Uttar Pradesh,Pratapgarh,1044,518,19,0,23400.0
2020-08-16,Uttar Pradesh,Pratapgarh,1075,549,20,0,23900.0
2020-08-17,Uttar Pradesh,Pratapgarh,1096,598,21,0,24200.0
2020-08-18,Uttar Pradesh,Pratapgarh,1139,667,21,0,24200.0
2020-08-19,Uttar Pradesh,Pratapgarh,1200,747,21,0,24800.0
2020-08-20,Uttar Pradesh,Pratapgarh,1247,788,21,0,25000.0
2020-08-21,Uttar Pradesh,Pratapgarh,1320,876,21,0,25300.0
2020-08-22,Uttar Pradesh,Pratapgarh,1358,917,21,0,25300.0
2020-08-23,Uttar Pradesh,Pratapgarh,1418,935,22,0,25300.0
2020-08-24,Uttar Pradesh,Pratapgarh,1459,953,23,0,26100.0
2020-08-25,Uttar Pradesh,Pratapgarh,1502,984,24,0,26100.0
2020-08-26,Uttar Pradesh,Pratapgarh,1544,1009,24,0,26100.0
2020-08-27,Uttar Pradesh,Pratapgarh,1599,1056,25,0,27000.0
2020-08-28,Uttar Pradesh,Pratapgarh,1656,1082,26,0,27300.0
2020-08-29,Uttar Pradesh,Pratapgarh,1699,1148,26,0,27600.0
2020-08-30,Uttar Pradesh,Pratapgarh,1750,1180,27,0,27900.0
2020-08-31,Uttar Pradesh,Pratapgarh,1783,1233,27,0,28200.0
2020-09-01,Uttar Pradesh,Pratapgarh,1834,1263,28,0,28500.0
2020-09-02,Uttar Pradesh,Pratapgarh,1881,1314,28,0,28800.0
2020-09-03,Uttar Pradesh,Pratapgarh,1918,1358,29,0,29100.0
2020-09-04,Uttar Pradesh,Pratapgarh,1978,1418,29,0,29100.0
