Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Chandigarh,Chandigarh,36,17,0,0,756.0
2020-04-27,Chandigarh,Chandigarh,45,17,0,0,843.0
2020-04-28,Chandigarh,Chandigarh,56,17,0,0,924.0
2020-04-29,Chandigarh,Chandigarh,68,17,0,0,1012.0
2020-04-30,Chandigarh,Chandigarh,74,18,0,0,1147.0
2020-05-01,Chandigarh,Chandigarh,88,18,0,0,1252.0
2020-05-02,Chandigarh,Chandigarh,94,19,0,0,1462.0
2020-05-03,Chandigarh,Chandigarh,97,19,1,0,1616.0
2020-05-04,Chandigarh,Chandigarh,102,21,1,0,1678.0
2020-05-05,Chandigarh,Chandigarh,119,21,1,0,1713.0
2020-05-06,Chandigarh,Chandigarh,124,21,1,0,1785.0
2020-05-07,Chandigarh,Chandigarh,135,21,1,0,1845.0
2020-05-08,Chandigarh,Chandigarh,146,21,2,0,1913.0
2020-05-09,Chandigarh,Chandigarh,169,24,2,0,2055.0
2020-05-10,Chandigarh,Chandigarh,173,24,3,0,2142.0
2020-05-11,Chandigarh,Chandigarh,181,28,3,0,2177.0
2020-05-12,Chandigarh,Chandigarh,187,30,3,0,2276.0
2020-05-13,Chandigarh,Chandigarh,191,30,3,0,2420.0
2020-05-14,Chandigarh,Chandigarh,191,37,3,0,2505.0
2020-05-15,Chandigarh,Chandigarh,191,40,3,0,2586.0
2020-05-16,Chandigarh,Chandigarh,191,51,3,0,2718.0
2020-05-17,Chandigarh,Chandigarh,191,51,3,0,2812.0
2020-05-18,Chandigarh,Chandigarh,196,54,3,0,2892.0
2020-05-19,Chandigarh,Chandigarh,199,57,3,0,3031.0
2020-05-20,Chandigarh,Chandigarh,202,136,3,0,3031.0
2020-05-21,Chandigarh,Chandigarh,218,178,3,0,3369.0
2020-05-22,Chandigarh,Chandigarh,219,178,3,0,3531.0
2020-05-23,Chandigarh,Chandigarh,225,179,3,0,3749.0
2020-05-24,Chandigarh,Chandigarh,262,179,4,0,3904.0
2020-05-25,Chandigarh,Chandigarh,266,187,4,0,4089.0
2020-05-26,Chandigarh,Chandigarh,278,187,4,0,4207.0
2020-05-27,Chandigarh,Chandigarh,279,187,4,0,4332.0
2020-05-28,Chandigarh,Chandigarh,289,189,4,0,4467.0
2020-05-29,Chandigarh,Chandigarh,289,189,4,0,4543.0
2020-05-30,Chandigarh,Chandigarh,289,199,4,0,4654.0
2020-05-31,Chandigarh,Chandigarh,293,199,4,0,4785.0
2020-06-01,Chandigarh,Chandigarh,297,214,4,0,4816.0
2020-06-02,Chandigarh,Chandigarh,301,214,5,0,4902.0
2020-06-03,Chandigarh,Chandigarh,301,214,5,0,4977.0
2020-06-04,Chandigarh,Chandigarh,302,222,5,0,5059.0
2020-06-05,Chandigarh,Chandigarh,309,273,5,0,5121.0
2020-06-06,Chandigarh,Chandigarh,312,273,5,0,5237.0
2020-06-07,Chandigarh,Chandigarh,314,274,5,0,5312.0
2020-06-08,Chandigarh,Chandigarh,320,285,5,0,5385.0
2020-06-09,Chandigarh,Chandigarh,326,285,5,0,5385.0
2020-06-10,Chandigarh,Chandigarh,328,289,5,0,5532.0
2020-06-11,Chandigarh,Chandigarh,332,293,5,0,5636.0
2020-06-12,Chandigarh,Chandigarh,345,295,5,0,5708.0
2020-06-13,Chandigarh,Chandigarh,350,295,5,0,5839.0
2020-06-14,Chandigarh,Chandigarh,352,295,5,0,5937.0
2020-06-15,Chandigarh,Chandigarh,357,301,6,0,6027.0
2020-06-16,Chandigarh,Chandigarh,365,302,6,0,6115.0
2020-06-17,Chandigarh,Chandigarh,370,306,6,0,6233.0
2020-06-18,Chandigarh,Chandigarh,374,306,6,0,6315.0
2020-06-19,Chandigarh,Chandigarh,381,315,6,0,6438.0
2020-06-20,Chandigarh,Chandigarh,404,316,6,0,6578.0
2020-06-21,Chandigarh,Chandigarh,406,316,6,0,6677.0
2020-06-22,Chandigarh,Chandigarh,411,322,6,0,6745.0
2020-06-23,Chandigarh,Chandigarh,418,322,6,0,6840.0
2020-06-24,Chandigarh,Chandigarh,420,322,6,0,6981.0
2020-06-25,Chandigarh,Chandigarh,423,329,6,0,7072.0
2020-06-26,Chandigarh,Chandigarh,425,335,6,0,7201.0
2020-06-27,Chandigarh,Chandigarh,428,335,6,0,7342.0
2020-06-28,Chandigarh,Chandigarh,431,336,6,0,7455.0
2020-06-29,Chandigarh,Chandigarh,434,349,6,0,7548.0
2020-06-30,Chandigarh,Chandigarh,440,364,6,0,7689.0
2020-07-01,Chandigarh,Chandigarh,446,367,6,0,7792.0
2020-07-02,Chandigarh,Chandigarh,450,389,6,0,7938.0
2020-07-03,Chandigarh,Chandigarh,454,393,6,0,8074.0
2020-07-04,Chandigarh,Chandigarh,459,395,6,0,8209.0
2020-07-05,Chandigarh,Chandigarh,466,395,6,0,8419.0
2020-07-06,Chandigarh,Chandigarh,487,401,6,0,8528.0
2020-07-07,Chandigarh,Chandigarh,492,401,7,0,8669.0
2020-07-08,Chandigarh,Chandigarh,507,402,7,0,8833.0
2020-07-09,Chandigarh,Chandigarh,523,403,7,0,9096.0
2020-07-10,Chandigarh,Chandigarh,536,408,7,0,9253.0
2020-07-11,Chandigarh,Chandigarh,549,413,8,0,9405.0
2020-07-12,Chandigarh,Chandigarh,559,417,8,0,9571.0
2020-07-13,Chandigarh,Chandigarh,588,423,8,0,9722.0
2020-07-14,Chandigarh,Chandigarh,600,446,10,0,9834.0
2020-07-15,Chandigarh,Chandigarh,619,459,11,0,10050.0
2020-07-16,Chandigarh,Chandigarh,635,476,11,0,10244.0
2020-07-17,Chandigarh,Chandigarh,660,480,11,0,10457.0
2020-07-18,Chandigarh,Chandigarh,691,485,12,0,10773.0
2020-07-19,Chandigarh,Chandigarh,717,488,12,0,10959.0
2020-07-20,Chandigarh,Chandigarh,737,518,12,0,11075.0
2020-07-21,Chandigarh,Chandigarh,751,518,12,0,11271.0
2020-07-22,Chandigarh,Chandigarh,780,526,13,0,11547.0
2020-07-23,Chandigarh,Chandigarh,800,531,13,0,11780.0
2020-07-24,Chandigarh,Chandigarh,823,535,13,0,12030.0
2020-07-25,Chandigarh,Chandigarh,852,555,13,0,12358.0
2020-07-26,Chandigarh,Chandigarh,887,572,13,0,12608.0
2020-07-27,Chandigarh,Chandigarh,910,575,14,0,12786.0
2020-07-28,Chandigarh,Chandigarh,934,599,14,0,13069.0
2020-07-29,Chandigarh,Chandigarh,978,611,14,0,13327.0
2020-07-30,Chandigarh,Chandigarh,1016,647,14,0,13683.0
2020-07-31,Chandigarh,Chandigarh,1051,667,15,0,13959.0
2020-08-01,Chandigarh,Chandigarh,1079,683,18,0,14239.0
2020-08-02,Chandigarh,Chandigarh,1117,698,19,1,14493.0
2020-08-03,Chandigarh,Chandigarh,1160,706,19,1,14778.0
2020-08-04,Chandigarh,Chandigarh,1206,715,20,1,15116.0
2020-08-05,Chandigarh,Chandigarh,1270,715,20,1,15611.0
2020-08-06,Chandigarh,Chandigarh,1327,777,20,1,16034.0
2020-08-07,Chandigarh,Chandigarh,1374,820,23,1,16596.0
