Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-27,Uttar Pradesh,Jhansi,1,0,0,0,
2020-04-28,Uttar Pradesh,Jhansi,1,0,0,0,
2020-04-29,Uttar Pradesh,Jhansi,3,0,0,0,
2020-04-30,Uttar Pradesh,Jhansi,4,0,0,0,
2020-05-01,Uttar Pradesh,Jhansi,4,0,0,0,
2020-05-02,Uttar Pradesh,Jhansi,9,0,0,0,
2020-05-03,Uttar Pradesh,Jhansi,9,0,0,0,
2020-05-04,Uttar Pradesh,Jhansi,9,0,0,0,
2020-05-05,Uttar Pradesh,Jhansi,15,0,1,0,
2020-05-06,Uttar Pradesh,Jhansi,15,0,1,0,
2020-05-07,Uttar Pradesh,Jhansi,15,0,1,0,
2020-05-08,Uttar Pradesh,Jhansi,20,0,2,0,
2020-05-09,Uttar Pradesh,Jhansi,20,0,2,0,
2020-05-10,Uttar Pradesh,Jhansi,25,0,2,0,
2020-05-11,Uttar Pradesh,Jhansi,26,0,2,0,
2020-05-12,Uttar Pradesh,Jhansi,26,0,2,0,
2020-05-13,Uttar Pradesh,Jhansi,30,0,2,0,
2020-05-14,Uttar Pradesh,Jhansi,30,0,2,0,
2020-05-15,Uttar Pradesh,Jhansi,30,0,2,0,
2020-05-16,Uttar Pradesh,Jhansi,30,3,4,0,
2020-05-17,Uttar Pradesh,Jhansi,30,3,4,0,
2020-05-18,Uttar Pradesh,Jhansi,30,15,4,0,
2020-05-19,Uttar Pradesh,Jhansi,30,18,4,0,
2020-05-20,Uttar Pradesh,Jhansi,30,18,4,0,
2020-05-21,Uttar Pradesh,Jhansi,30,20,4,0,
2020-05-22,Uttar Pradesh,Jhansi,30,20,4,0,
2020-05-23,Uttar Pradesh,Jhansi,31,24,4,0,
2020-05-24,Uttar Pradesh,Jhansi,32,24,4,0,
2020-05-25,Uttar Pradesh,Jhansi,32,26,4,0,
2020-05-26,Uttar Pradesh,Jhansi,32,26,4,0,
2020-05-27,Uttar Pradesh,Jhansi,32,26,4,0,
2020-05-28,Uttar Pradesh,Jhansi,37,26,4,0,
2020-05-29,Uttar Pradesh,Jhansi,37,26,4,0,
2020-05-30,Uttar Pradesh,Jhansi,37,26,5,0,
2020-05-31,Uttar Pradesh,Jhansi,37,26,5,0,
2020-06-01,Uttar Pradesh,Jhansi,42,26,5,0,
2020-06-02,Uttar Pradesh,Jhansi,43,26,5,0,
2020-06-03,Uttar Pradesh,Jhansi,43,26,5,0,
2020-06-04,Uttar Pradesh,Jhansi,46,26,5,0,
2020-06-05,Uttar Pradesh,Jhansi,46,26,6,0,
2020-06-06,Uttar Pradesh,Jhansi,47,26,6,0,
2020-06-07,Uttar Pradesh,Jhansi,51,28,6,0,
2020-06-08,Uttar Pradesh,Jhansi,54,30,6,0,
2020-06-09,Uttar Pradesh,Jhansi,63,30,6,0,
2020-06-10,Uttar Pradesh,Jhansi,64,32,8,0,
2020-06-11,Uttar Pradesh,Jhansi,67,32,9,0,
2020-06-12,Uttar Pradesh,Jhansi,69,33,9,0,
2020-06-13,Uttar Pradesh,Jhansi,75,35,9,0,
2020-06-14,Uttar Pradesh,Jhansi,80,35,9,0,
2020-06-15,Uttar Pradesh,Jhansi,82,39,9,0,
2020-06-16,Uttar Pradesh,Jhansi,82,39,10,0,
2020-06-17,Uttar Pradesh,Jhansi,84,39,10,0,
2020-06-18,Uttar Pradesh,Jhansi,88,43,11,0,
2020-06-19,Uttar Pradesh,Jhansi,92,45,11,0,
2020-06-20,Uttar Pradesh,Jhansi,98,46,11,0,
2020-06-21,Uttar Pradesh,Jhansi,98,48,12,0,
2020-06-22,Uttar Pradesh,Jhansi,106,54,12,0,
2020-06-23,Uttar Pradesh,Jhansi,112,54,12,0,
2020-06-24,Uttar Pradesh,Jhansi,114,57,14,0,
2020-06-25,Uttar Pradesh,Jhansi,126,60,14,0,
2020-06-26,Uttar Pradesh,Jhansi,130,61,14,0,
2020-06-27,Uttar Pradesh,Jhansi,145,62,16,0,
2020-06-28,Uttar Pradesh,Jhansi,159,63,18,0,
2020-06-29,Uttar Pradesh,Jhansi,175,67,18,0,
2020-06-30,Uttar Pradesh,Jhansi,193,69,18,0,
2020-07-01,Uttar Pradesh,Jhansi,194,73,19,0,
2020-07-02,Uttar Pradesh,Jhansi,201,73,21,0,
2020-07-03,Uttar Pradesh,Jhansi,214,83,22,0,
2020-07-04,Uttar Pradesh,Jhansi,233,89,24,0,
2020-07-05,Uttar Pradesh,Jhansi,246,91,25,0,
2020-07-06,Uttar Pradesh,Jhansi,279,91,27,0,
2020-07-07,Uttar Pradesh,Jhansi,326,100,27,0,
2020-07-08,Uttar Pradesh,Jhansi,377,101,29,0,
2020-07-09,Uttar Pradesh,Jhansi,404,109,31,0,
2020-07-10,Uttar Pradesh,Jhansi,465,115,33,0,
2020-07-11,Uttar Pradesh,Jhansi,527,148,34,0,
2020-07-12,Uttar Pradesh,Jhansi,565,149,35,0,
2020-07-13,Uttar Pradesh,Jhansi,601,182,36,0,
2020-07-14,Uttar Pradesh,Jhansi,737,202,39,0,
2020-07-15,Uttar Pradesh,Jhansi,803,231,42,0,
2020-07-16,Uttar Pradesh,Jhansi,916,254,42,0,
2020-07-17,Uttar Pradesh,Jhansi,987,289,44,0,
2020-07-18,Uttar Pradesh,Jhansi,1052,326,45,0,
2020-07-19,Uttar Pradesh,Jhansi,1156,354,46,0,
