Date,State,District,Confirmed,Recovered,Deceased,Other,Tested
2020-04-26,Uttar Pradesh,Rae Bareli,43,0,0,0,
2020-04-27,Uttar Pradesh,Rae Bareli,43,0,0,0,
2020-04-28,Uttar Pradesh,Rae Bareli,44,0,0,0,
2020-04-29,Uttar Pradesh,Rae Bareli,44,0,0,0,
2020-04-30,Uttar Pradesh,Rae Bareli,44,0,0,0,
2020-05-01,Uttar Pradesh,Rae Bareli,44,0,0,0,
2020-05-02,Uttar Pradesh,Rae Bareli,44,0,0,0,
2020-05-03,Uttar Pradesh,Rae Bareli,44,0,0,0,
2020-05-04,Uttar Pradesh,Rae Bareli,44,2,0,0,
2020-05-05,Uttar Pradesh,Rae Bareli,46,2,0,0,
2020-05-06,Uttar Pradesh,Rae Bareli,46,2,0,0,
2020-05-07,Uttar Pradesh,Rae Bareli,47,8,0,0,
2020-05-08,Uttar Pradesh,Rae Bareli,47,8,0,0,
2020-05-09,Uttar Pradesh,Rae Bareli,47,33,0,0,
2020-05-10,Uttar Pradesh,Rae Bareli,48,33,0,0,
2020-05-11,Uttar Pradesh,Rae Bareli,49,35,0,0,
2020-05-12,Uttar Pradesh,Rae Bareli,49,35,0,0,
2020-05-13,Uttar Pradesh,Rae Bareli,50,39,0,0,
2020-05-14,Uttar Pradesh,Rae Bareli,50,41,0,0,
2020-05-15,Uttar Pradesh,Rae Bareli,50,44,0,0,
2020-05-16,Uttar Pradesh,Rae Bareli,51,44,0,0,
2020-05-17,Uttar Pradesh,Rae Bareli,51,44,0,0,
2020-05-18,Uttar Pradesh,Rae Bareli,52,47,0,0,
2020-05-19,Uttar Pradesh,Rae Bareli,58,47,0,0,
2020-05-20,Uttar Pradesh,Rae Bareli,58,47,0,0,
2020-05-21,Uttar Pradesh,Rae Bareli,58,47,0,0,
2020-05-22,Uttar Pradesh,Rae Bareli,61,48,1,0,
2020-05-23,Uttar Pradesh,Rae Bareli,62,48,1,0,
2020-05-24,Uttar Pradesh,Rae Bareli,62,47,1,0,
2020-05-25,Uttar Pradesh,Rae Bareli,64,48,1,0,
2020-05-26,Uttar Pradesh,Rae Bareli,67,48,1,0,
2020-05-27,Uttar Pradesh,Rae Bareli,69,50,1,0,
2020-05-28,Uttar Pradesh,Rae Bareli,72,50,1,0,
2020-05-29,Uttar Pradesh,Rae Bareli,72,53,1,0,
2020-05-30,Uttar Pradesh,Rae Bareli,72,57,1,0,
2020-05-31,Uttar Pradesh,Rae Bareli,72,57,1,0,
2020-06-01,Uttar Pradesh,Rae Bareli,72,58,1,0,
2020-06-02,Uttar Pradesh,Rae Bareli,72,58,1,0,
2020-06-03,Uttar Pradesh,Rae Bareli,73,58,1,0,
2020-06-04,Uttar Pradesh,Rae Bareli,73,61,1,0,
2020-06-05,Uttar Pradesh,Rae Bareli,74,61,1,0,
2020-06-06,Uttar Pradesh,Rae Bareli,74,61,1,0,
2020-06-07,Uttar Pradesh,Rae Bareli,78,61,1,0,
2020-06-08,Uttar Pradesh,Rae Bareli,92,62,1,0,
2020-06-09,Uttar Pradesh,Rae Bareli,100,65,1,0,
2020-06-10,Uttar Pradesh,Rae Bareli,100,68,1,0,
2020-06-11,Uttar Pradesh,Rae Bareli,104,69,1,0,
2020-06-12,Uttar Pradesh,Rae Bareli,105,70,1,0,
2020-06-13,Uttar Pradesh,Rae Bareli,107,72,1,0,
2020-06-14,Uttar Pradesh,Rae Bareli,109,72,2,0,
2020-06-15,Uttar Pradesh,Rae Bareli,110,72,2,0,
2020-06-16,Uttar Pradesh,Rae Bareli,111,72,2,0,
2020-06-17,Uttar Pradesh,Rae Bareli,112,72,2,0,
2020-06-18,Uttar Pradesh,Rae Bareli,113,74,2,0,
2020-06-19,Uttar Pradesh,Rae Bareli,116,82,2,0,
2020-06-20,Uttar Pradesh,Rae Bareli,121,96,2,0,
2020-06-21,Uttar Pradesh,Rae Bareli,121,96,3,0,
2020-06-22,Uttar Pradesh,Rae Bareli,119,102,3,0,
2020-06-23,Uttar Pradesh,Rae Bareli,119,104,3,0,
2020-06-24,Uttar Pradesh,Rae Bareli,121,104,3,0,
2020-06-25,Uttar Pradesh,Rae Bareli,126,104,3,0,
2020-06-26,Uttar Pradesh,Rae Bareli,127,104,3,0,
2020-06-27,Uttar Pradesh,Rae Bareli,128,104,3,0,
2020-06-28,Uttar Pradesh,Rae Bareli,132,105,3,0,
2020-06-29,Uttar Pradesh,Rae Bareli,134,109,3,0,
2020-06-30,Uttar Pradesh,Rae Bareli,135,112,3,0,
2020-07-01,Uttar Pradesh,Rae Bareli,136,112,3,0,
2020-07-02,Uttar Pradesh,Rae Bareli,139,112,3,0,
2020-07-03,Uttar Pradesh,Rae Bareli,142,116,3,0,
2020-07-04,Uttar Pradesh,Rae Bareli,144,115,3,0,
2020-07-05,Uttar Pradesh,Rae Bareli,148,121,3,0,
2020-07-06,Uttar Pradesh,Rae Bareli,152,121,3,0,
2020-07-07,Uttar Pradesh,Rae Bareli,161,122,3,0,
2020-07-08,Uttar Pradesh,Rae Bareli,166,125,3,0,
2020-07-09,Uttar Pradesh,Rae Bareli,169,125,3,0,
2020-07-10,Uttar Pradesh,Rae Bareli,170,130,4,0,10824.0
2020-07-11,Uttar Pradesh,Rae Bareli,174,131,4,0,11208.0
2020-07-12,Uttar Pradesh,Rae Bareli,187,135,4,0,11634.0
2020-07-13,Uttar Pradesh,Rae Bareli,187,137,4,0,12074.0
